text,sentiment
Doctor Who has finished,neutral
 you should.,neutral
"back at school again. almost weekend. oh wait, i gotta work from eight to four tonight",neutral
My computer is SO slooowww this morning.  I think it`s a sign that I should go home and play in my yard.,neutral
On my way to dazzle bar!!,neutral
"_terrible haha, that was new  the fact that he couldn`t do it should have cost his part. What kind of Spock is that!",neutral
" they are terrible little beast but if the garden is small you can simply collect them, or you can buy poisonous food pellets",negative
 aww hope uve hada good day  xxxxx,positive
 o iight we gonna miss you tonight,negative
Can`t I just be a stay at home mom already,neutral
" hey kellie,how are u?I FEEL HORRIBLE!",negative
I thought when u go #2 your tummy is supposed to feel better not worse,neutral
yeh. merch shopping to look fab.,positive
" man, 4 months until we get to see what those drunk tweets were all about",neutral
 true but if I don`t put a case on it I`ll break it in a week.  don`t worry ill find a way to make it work.,neutral
  Joe and I loveee you.,positive
 lets go home,neutral
is STILL sick. But still loves revenge and the possibility of more revenge to come,neutral
"layenn down,uughh dunt feel well",negative
Four hour baseball game. At least the Crew spent much of it making the Cubbies look bad.,negative
Watching the CAVS!!!!!,neutral
time to bed now!!,neutral
 you will never be the same...,neutral
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative
"Star Trek is awesome!! Kirk is hot, Spock is cool. It`s fun, cool and sexy. Definitely worth seeing. I saw it at the Cinerama.",positive
 so jealous,negative
 and that prob wont happen....,neutral
"_you Ah! Haha that`s exciting. If I ever come to Australia we are definitely gonna have a movie night, FYI",positive
 boo! I must`ve deleted it from my phone!  can`t find it in my emails either!,negative
" 'A hike in the woods with four little kids couldn`t be that exhausting, right? Wrong.'  LOL.. Try downright masochistic!",neutral
wtf?! my tweets aren`t posting   super excited about the weekend! <3jfg.,negative
 not for long goin for some sprints now,neutral
Happy Mother`s Day! I love my mommy,positive
oh how I miss my truck... I could have my whole place moved by now...,negative
does anyone know where I can watch the prison break tv movie? It`s not on itunes,neutral
tired as hell!!!! bed time from cara  nighty night twitter world..,negative
"When life, as you know it, doesn`t exist anymore.",negative
"i got a haircut, i felt like that guy on the 'Last Samuri' who was forced to have his ponytail cut off.",negative
"_2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week !",neutral
 Yeah. About **** time. My film SLR just sits there quietly being ignored. It`s time to step up!,negative
 awww i`m sorry  what kind of fish did you have?,negative
 ouch  does picking your nose count?,negative
 fey slays it in #30rock but title of that film sounds bad  #Inbruges is a funny indie little euro city hitman gone bad tale!,neutral
: Out to dinner for the fam and Grandma for Mother`s Day.,neutral
 http://twitpic.com/4bckp - that should answer part of your question,neutral
Stuck in awful traffic in the way to the wedding. Ceremony is supposed to start now. Ughhh.,negative
Watching Scrubs season 2. Oh I`m gonna miss that show,negative
Its summer and no one has texted/called me. Im a loner,negative
Getting bored sitting at the hotel room the entire day,negative
FTSK and Mercy Mercedes were amazing tonight.. as always,positive
 i think it starts at  7.30 with that david archuleta  i might just throw glitter all over myself aha ****,neutral
: I`m real,neutral
"I missed you yesterday, Lacey.    We get to go to granulation tonight, though.",negative
 Me and Wendy are going after all.  Wish you were!!!,negative
Harley Quinn cstm  hehehehe  not going to the prom buaa,neutral
 i hate it. it should just be english all day everyday,negative
 then you must insist you write essays the twitter way - no more than 140 characters,neutral
   your picture makes me thristy EVERYDAY!,neutral
 omfg I have been DOWNING them they are so tasty. I ate almost all of them with Lo,positive
" That`s the problem. The earphones I get here don`t last more than 2 months, no matter what brand or price.",negative
WELL i do not think i am getting a call anytime soon. PAINTING MY NAILS!,neutral
Oh dear. Sunburned back,negative
"If someone have a friendster profy!,.just add me!,.ayt!?,.lol!,.http://bit.ly/UsPlN !",neutral
"I think Tania is too cute, too nice  I love her! <3",positive
  tell me about it,neutral
 You live dat glamorous life.,positive
people with mustaches get super powers and mustaches. no fair.,negative
Awesome night ahead: BAD v Rat City! Most of my favorite skaters on one track  #fb,positive
Rough start to my day.  Taking this one off from DON so as not to spread my bad vibes. Hope you all have a great weekend! I`m outty.,neutral
Sick. With a flu like thing.,negative
OH NO! MY FAN BROKE  NOOOOOOOOOOOO! great now i have to swelter in the heat. i like heat-ish but it hot! my laptop warm as well.,negative
I need to buy a cheap verizon phone,neutral
" aw no!  yeah I must say, it was very good haha",neutral
"Happy Mother`s Day to all mothers out there!  I am not one myself, but I have been called something along those lines",positive
_Ferman that`s so weak!!  facebook fail,negative
" I`m thinking of a dawn shot of Carlingford Lough, the sun will be in the right place this time of year. involves an early rise tho",neutral
 I GET IT.  YOU ESPLAINED IT TO ME AWHILE AGO.,negative
am little bit upset   ppl is jerk-,negative
 Yes I do! And I`m still almost at my Gmail storage ceiling! ARGH! I am being FORCED to delete stuff.... or buy more space.,negative
*PEN JAM CLEARED* CLICK!,neutral
   I`ve always been a ppl person just hid behind bad self confidence for 2 long  u can do anything!,neutral
I am off to bed now....my family has a wonderful day planned for me today      Happy Mother`s Day,positive
 how come u all don`t seem to excited to play in DC????,negative
 Poor you   If I was with you right now; I would probably give you a hug ;D,neutral
